Year,Author,Journal ,Title,Article Definition,Procedural Definition Coder 1,Process Definintion Coder 1,Unsure Coder 1,Procedural Definition Coder 2,Process Definintion Coder 2,Unsure Coder 2,Include,Notes
2017,"Bai, John Y. H.; Cowie, Sarah; Podlesnik, Christopher A.",Learning & Behavior,Quantitative analysis of local-level resurgence,"Resurgence is a laboratory model of treatment relapse, in which a previously extinguished target behavior recurs when an alternative behavior is extinguished",,1,,,1,,1,
2017,"Benavides, Rodrigo; Escobar, Rogelio",Behavioural Processes,Resurgence of response duration in human participants,A previously reinforced response can reappear when current responses are exposed to extinction. This phenomenon is known as response resurgence. ,,1,,,1,,1,
2017,"Bolívar, Hypatia A; Cox, David J; Barlow, Molly A; Dallery, Jesse",Behavioural Processes,Evaluating resurgence procedures in a human operant laboratory.,"Resurgence can be defined as the reoccurrence of previously extinguished behavior when reinforcement for an alternative response is withheld (Epstein, 1983). Stated differently, a behavior that was previously reinforced and subsequently extinguished may reoccur if a recently reinforced alternative behavior no longer contacts reinforcement. ",,1,,,1,,1,
2017,"Craig, Andrew R; Browning, Kaitlyn O; Nall, Rusty W; Marshall, Ciara M; Shahan, Timothy A",Journal of the Experimental Analysis of Behavior,Resurgence and alternative-reinforcer magnitude.,Recurrence of previously reinforced behavior following loss of an alternative source of reinforcement is termed resurgence,,1,,,1,,1,
2017,"Craig, Andrew R; Browning, Kaitlyn O; Shahan, Timothy A",Journal of the Experimental Analysis of Behavior,Stimuli previously associated with reinforcement mitigate resurgence.,Recurrence of previously reinforced behavior following loss of an alternative source of reinforcement is termed resurgence,,1,,,1,,1,
2017,"Dube, William V.; Thompson, Brooks; Silveira, Marcelo V.; Nevin, John A.",The Psychological Record,The role of contingencies and stimuli in a human laboratory model of treatment of problem behavior,Resurgence refers to the difference in proportions of  baseline between the initial sessions of extinction and the immediately preceding sessions of treatment ,,,1,,1,,0,
2017,"Kuroda, Toshikazu; Mizutani, Yuto; Cançado, Carlos R X; Podlesnik, Christopher A",Behavioural Brain Research,"Operant models of relapse in zebrafish (Danio rerio): Resurgence, renewal, and reinstatement.","First, resurgence is the relapse of a previously reinforced and then extinguished response when reducing or eliminating reinforcement for a more recently trained response",,1,,,1,,1,
2017,"Kuroda, Toshikazu; Mizutani, Yuto; Cançado, Carlos R X; Podlesnik, Christopher A",Behavioural Processes,Reversal learning and resurgence of operant behavior in zebrafish (Danio rerio).,Resurgence is the return of a target response when reducing or eliminating reinforcement for a more recently trained response ,,1,,,1,,1,
2017,"Liddon, Clare J.; Kelley, Michael E.; Podlesnik, Christopher A.",Learning and Motivation,An animal model of differential reinforcement of alternative behavior,Resurgence effects are evident in the third phase of a three-phase procedure when a previously reinforced but recently extinguished behavior reemerges,,1,,,1,,1,
2017,"Romano, Lucie M.; St. Peter, Claire C.",The Psychological Record,Omission training results in more resurgence than alternative reinforcement,Resurgence refers to the reemergence of a previously reinforced behavior following the extinction of a more recently reinforced behavior,,1,,,1,,1,
2017,"Smith, Brooke M; Smith, Gregory S; Shahan, Timothy A; Madden, Gregory J; Twohig, Michael P",Journal of the Experimental Analysis of Behavior,Effects of differential rates of alternative reinforcement on resurgence of human behavior.,"Resurgence research with nonhuman populations has  thus  far shown that although higher rates of alternative reinforcement tend to result in faster and more comprehensive elimination of target behavior, they can also result in greater resurgence of that behavior once reinforcement has been decreased or removed.",,1,,,1,,1,
2018,"Craig, Andrew R; Cunningham, Paul J; Sweeney, Mary M; Shahan, Timothy A; Nevin, John A",Journal of the Experimental Analysis of Behavior,Delivering alternative reinforcement in a distinct context reduces its counter-therapeutic effects on relapse.,"Additionally, work with animals and humans has demonstrated that the delivey of alternative reinforcment can increase the susepitability of target behavior to relapse when alterantive reinforcment is suspended",,1,,,1,,1,
2018,"Fontes, Rafaela M; Todorov, João C; Shahan, Timothy A",Journal of the Experimental Analysis of Behavior,Punishment of an alternative behavior generates resurgence of a previously extinguished target behavior.,Resurgence is often defined as an increase in a previously extinguished target behaviorwhen a more recently reinforced alternative behavior is also extinguished ,,1,,,1,,1,
2018,"Frye, Charles C J; Rung, Jillian M; Nall, Rusty W; Galizio, Ann; Haynes, Jeremy M; Odum, Amy L",PLoS ONE,Continuous nicotine exposure does not affect resurgence of alcohol seeking in rats.,"In animal models, these processes are modeled by making a reward (e.g., a drug) available for responding on a target manipulandum (e.g., lever) during a baseline phase. Once responding is established and the subject reliably earns rewards, target responses are placed on extinction and responding to an alternative manipulandum (e.g., chain) produced an alternative reward. Finally, once responding on the target manipulandum has stablilized in the presence of the alternative manipulandum and its associated reward, responses on the alternative manipulandum are also placed on extinction and return to the target manipulandum is indicative of relapse (in this case, resurgence).",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2018,"Galizio, Ann; Frye, Charles C J; Haynes, Jeremy M; Friedel, Jonathan E; Smith, Brooke M; Odum, Amy L",Journal of the Experimental Analysis of Behavior,Persistence and relapse of reinforced behavioral variability.,Resurgence is the reoccurrence of a previously reinforced behavior following extinction of a more recently reinforced  behavior,,1,,,1,,1,
